Table 1
,,,,,,,,,,,,,,
,Driver Name,Type,Polarion ID,Title,Reseller Name,Created Date,Approved Date,Start Date/In Progress,Delivery Date,Resolved Date,Resolution,Version Introduced,Was there any known issues after delivery?,Comments
,inpdmsaa,Inquiry,IM-63470,DDR - Inpeco DMS Automation to support aliquoting from Cerner,Abbott,2018-12-20,2022-06-09,2022-06-09,2022-06-30,,,,,
,diiqcbrq,Inquiry,IM-65235,The QC Bracketing Driver needs to display the list of SIDs & Tests that it is releasing,DI,2019-03-15,2022-08-09,2022-08-09,2022-08-16,,,,,
,sebphrsi,Inquiry,IM-67975,Add support for additional testcode/result combinations for TP results,SEBIA Phoresis,2019-06-26,2022-05-16,2022-05-16,2022-05-16,,,,,
,aghusqll,Inquiry,IM-69969,NDR AGHU LIS,AGHU,2019-09-12,2020-03-31,2023-06-19,2023-09-22,,2023-09-22 15:30,,,
,hampipei,Inquiry,IM-79002,hampipei - Update the driver to no longer use the fldrview.ocx control for Folder Browsing,,2020-04-22,2020-04-30,2022-03-31,2022-04-22,,,,,
,ipccdffl,Inquiry,IM-79003,ipccdffl - Update the driver to no longer use the fldrview.ocx control for Folder Browsing,,2020-04-22,2020-04-30,2022-04-22,2022-04-26,,,,,
,phrunici,Inquiry,IM-79007,phrunici - Update the driver to no longer use the fldrview.ocx control for Folder Browsing,,2020-04-22,2020-04-30,2022-04-22,2022-04-26,,,,,
,sebphrsi,Known Issue,IM-86294,sebphrsi - Driver does not respect configured TP variance when building TP values from results and orders,SEBIA Phoresis,2020-10-06,,,2023-11-01,,,v8.00.0031 (02/17/2017),,
,diicfgxi,Inquiry,IM-89004,NDR for configurable XML driver,DI,2020-12-15,2021-02-19,2021-12-15,2022-03-04,,2022-10-10 17:11,,,
,rchc513i,Inquiry,IM-91221,DDR for rchc513i,Roche,2021-02-18,2022-04-21,2022-04-26,2022-07-12,,,v8.00.0004,,
,rchc8kai,Inquiry,IM-91223,DDR rchc8kai - shared orders DB,Roche,2021-02-18,2022-08-10,2022-08-10,2022-08-25,,2024-01-22 06:53,v8.00.0025,,
,rchpurei,Inquiry,IM-91294,New Driver - Roche cobas pure,Roche,2021-02-22,2022-01-10,2022-01-10,2022-02-02,,2022-03-14 11:52,,,
,ocdeconi,Inquiry,IM-93073,NDR - Ortho eConnect driver,Ortho,2021-04-01,2021-09-10,2021-09-10,2022-01-18,,2022-07-19 15:40,,,
,ilaverni,Inquiry,IM-93600,NDR for VerifyNow Serial/XML,,2021-04-15,2022-05-19,2022-05-19,2022-05-19,,2023-02-02 15:09,,,
,bdcectri,Inquiry,IM-94777,Parse comments from Epicenter as isolate level comments,Beckman,2021-05-21,2021-09-28,2022-01-18,2022-01-28,,2022-05-17 07:16,8.00.0040,,
,ocd51fsi,Known Issue,IM-95223,"<SUBSCRIPT>parseTestType+7^ocd51fsiparse ^imconfig(""config"",29,""tests"","""")",Ortho,2021-06-07,,,2023-04-17,,,v8.00.0027,,
,tfclblkq,Inquiry,IM-96824,DDR for tfclblkq,Thermo,2021-07-15,2021-08-26,2021-09-10,2022-05-17,,2022-05-19 13:52,8.05.0006,,
,bdcfp2pi,Inquiry,IM-97085,DDR - bdcfp2pi - tube id and pdf support,Beckman,2021-07-21,2021-09-10,2021-09-17,2022-01-17,,2022-01-17 13:13,8.13.0004,,
,sisixlil,Inquiry,IM-98483,Update Sunquest IX LIS to send wkpstate Name Value Pair,Sunquest,2021-08-16,2022-02-15,2022-02-28,2022-03-09,,2022-06-10 10:03,v8.00.0008,,
,cphgnxpi,Inquiry,IM-98688,DDR for cphgnxpi,,2021-08-22,2021-09-09,2021-09-29,2022-03-01,,2023-03-27 16:16,8.00.0014,,
,mbscur7i,Inquiry,IM-99152,NDR - Curian - HL7 Uni-directional,,2021-09-07,2021-10-13,2021-12-01,2022-01-24,,2022-04-14 05:23,,,
,lumarcfi,Inquiry,IM-99301,NDR - Aries - CSV bi-directional,,2021-09-14,2021-12-14,2021-12-21,2022-01-27,,2023-05-05 05:27,,,
,dfcsttri,Inquiry,IM-99302,DDR - dfcsttri - plate types,,2021-09-14,2021-10-27,2021-10-29,2022-01-19,,,8.00.0004,,
,arlxmlri,Known Issue,IM-99308,missing closing MEICO tag in XML in order building,,2021-09-14,,2022-01-10,2022-02-08,,,v8.00.0001 (12/06/2016),,
,bkmc600i,Known Issue,IM-99466,bkmc600i - handle reject NAK gracefully,Beckman,2021-09-21,,,2022-02-18,,2022-06-28 04:27,v8.02.0010 (05/02/2017),,
,bdcectri,Inquiry,IM-100026,Group susceptibility results by AST source,Beckman,2021-10-05,2021-10-12,2022-01-07,2022-01-28,,2022-05-17 07:13,,,
,biaidyli,Known Issue,IM-100106,biaidyli - Driver drops last character of results under certain conditions,,2021-10-07,,,2022-01-20,,2023-04-07 11:58,v8.00.0001 (10/05/2020),,
,bdcphnxi,Known Issue,IM-100433,bdcphnxi: F1 does not launch Help,Beckman,2021-10-14,,,2022-03-16,,2024-01-08 09:35,8.00.0002 (10/25/2010),,
,bvimylai,Inquiry,IM-100995,DDR for bvimylai,bioMerieux,2021-10-25,2021-11-02,2022-03-10,2022-03-28,,2022-06-28 10:12,v8.04.0014,,
,diicfgdi,Inquiry,IM-101042,DDR - diicfgdi - result sorting,DI,2021-10-26,2021-11-30,2021-12-13,2022-03-21,,2022-06-16 10:44,8.04.0034,,
,abdicqii,Inquiry,IM-101192,Process Assay Availability messages from the Abbott Alinity-ci,Abbott,2021-10-28,2021-11-02,2022-01-03,2022-01-03,,2022-06-21 16:45,,,
,rchinfti,Inquiry,IM-101317,cobas infinity - Multiple Aliquot Methods,Roche,2021-10-29,2022-04-14,2022-04-19,2022-06-20,,2022-08-24 10:34,,,
,capprflcl,Inquiry,IM-101423,DDR for capprflcl,,2021-11-02,2021-11-30,2022-02-08,2022-03-01,,2022-05-20 06:44,v8.07.0011,,
,diicfgdi,Known Issue,IM-101674,"Data Elements configured to be parsed using the ""By Line"" are not being parsed",DI,2021-11-08,,,2022-03-21,,2022-04-27 16:41,v8.04.0032 (05/12/2021),,
,escancil,Inquiry,IM-101700,NDR - Epic Ancillary Interface,Epic,2021-11-08,2022-03-03,2022-03-15,2022-03-28,,2023-10-26 13:11,,,
,escvarii,Inquiry,IM-101706,NDR - Epic Variant Results,Epic,2021-11-08,2022-03-09,2022-03-10,2022-03-28,,2022-09-09 11:40,,,
,inbdelsi,Inquiry,IM-101758,NDR - INBRAS - semicolon delimited serial,,2021-11-09,2021-11-18,2021-12-13,2022-02-25,,2022-04-08 12:17,,,
,brld100i,Inquiry,IM-101776,DDR - brld100i - process images in M message,Bio-Rad,2021-11-10,2021-11-30,2021-12-20,2022-01-27,,2022-04-14 05:39,8.00.0003,,
,aubautfi,Inquiry,IM-101824,NDR - autof ms - micro included,,2021-11-10,2022-01-06,2022-02-04,2022-03-25,,2022-06-17 02:52,,,
,diiastml,Inquiry,IM-102109,diiastml - transmit Report Data,DI,2021-11-18,2021-12-07,2021-12-07,2022-01-18,,2022-02-03 12:54,,,
,diighl7l,Inquiry,IM-102111,diighl7l - add transmitting of Report Data,DI,2021-11-18,2021-12-07,2021-12-07,2022-01-18,,2022-01-25 16:08,,,
,brlqccnq,Inquiry,IM-102128,DDR: Incorrect instrument name on driver user interface,Bio-Rad,2021-11-18,2021-12-07,2021-12-13,2022-01-05,,2022-04-25 10:26,,,
,smscnvsi,Inquiry,IM-102160,DDR for smscnvsi,,2021-11-19,2021-12-02,2022-02-11,2022-02-18,,2022-02-24 11:13,v8.00.0003,,
,diioosda,Inquiry,IM-102486,Updates to the OOS driver,DI,2021-12-02,2021-12-14,2021-12-20,2022-01-03,,2022-06-21 18:06,,,
,diioosda,Known Issue,IM-102490,"When an inventory status message is received from an automation track, the OOS driver generates an inventory status update to all other automation tracks in the system as an update",DI,2021-12-02,,,2022-01-03,,2022-06-21 18:05,v8.12.0001,,
,diiccdfl,Inquiry,IM-102510,DDR diiccdfl - reduce idle time,DI,2021-12-02,2021-12-14,2022-02-02,2022-03-03,,2023-05-05 05:35,8.00.0007,,
,copwlabi,Inquiry,IM-102680,Copan WASPLab updates to support EPIC Manchester (EMEA),Copan,2021-12-06,2022-02-01,2022-02-01,2022-02-25,,2022-06-20 16:34,,,
,hamwrkli,Inquiry,IM-102883,DDR - hamwrkli - add test code to query results,,2021-12-09,2022-02-01,2022-02-17,2022-04-27,,2023-04-24 06:09,8.00.0009,,
,aesherai,Inquiry,IM-102913,NDR - Hera (Middleware) - DMS,,2021-12-10,2022-01-06,2022-04-05,2022-09-30,,,,,
,nifrem2i,Inquiry,IM-102959,DDR for nifrem2i,,2021-12-13,2022-01-06,2022-01-13,2022-01-21,,2022-04-20 11:04,v8.00.0019_dev11,,
,Middleware Utilization Report,Known Issue,IM-102968,Middleware Utilization Report can't run on 8.17.20 or above,,2021-12-13,,,2022-08-10,,,8.17.20,,
,eschl7ml,Inquiry,IM-103345,Support multiple facilities on a single connection,Epic,2022-01-03,2022-02-03,2022-02-10,2022-03-28,,2022-04-11 11:55,,,
,ocdvisii,Inquiry,IM-103475,DDR for ocdvisii,Ortho,2022-01-07,2022-02-01,2022-03-10,2022-04-25,,2023-03-20 03:34,v8.00.0005,,
,rchcsyni,Inquiry,IM-103500,Roche Cobas Synergy HIM v6.0,Roche,2022-01-10,2022-02-02,2022-02-03,2022-02-10,,2022-05-23 10:09,,,
,oly25sdi,Inquiry,IM-103517,DDR for oly25sdi,,2022-01-10,2022-01-20,2022-02-10,2022-02-22,,,v8.00.0013,,
,bkmaplki,Inquiry,IM-103519,DDR bkmaplki - auto restart,Beckman,2022-01-10,2023-05-19,2023-05-22,2023-06-28,,2023-10-13 06:22,v8.00.0014,,
,baycadvi,Inquiry,IM-103521,DDR for baycadvi,,2022-01-10,2022-01-18,2022-02-10,2022-03-16,,2022-06-02 04:57,v8.00.0006,,
,tfclblkq,Inquiry,IM-103543,DDR - tfclblkq - columns blacked out,Thermo,2022-01-11,2022-01-20,2022-01-25,2022-05-17,,2022-05-19 13:52,8.05.0006,,
,gnppanti,Inquiry,IM-103559,gnppanti - Always parse Aspect Code from R.3.5,Grifols,2022-01-11,2022-01-12,2022-01-18,2022-01-20,,2023-05-19 12:26,,,
,mgcrangi,Inquiry,IM-103602,DDR - mgcrangi - OrderKeys,MedGraphics,2022-01-13,2022-03-16,2022-04-05,2022-05-19,,2022-07-12 14:34,v8.00.0003,,
,valrvali,Inquiry,IM-103657,Group validated results by Patient ID and Collection Date/Time,,2022-01-14,2022-03-17,2022-03-17,2022-04-01,,,,,
,abdhsqii,Inquiry,IM-103663,IM-Alinity h driver update for GLP Track,Abbott,2022-01-14,2022-05-19,2022-05-25,2022-09-13,,2022-11-06 14:57,,,
,nvbnpa2i,Inquiry,IM-103721,DDR - nvbnpa2 - operator id error and patient-specimen match option,,2022-01-17,2022-02-01,2022-02-09,2022-03-08,,2022-07-14 08:32,V8.00.0001_dev64,,
,menzhl7i,Inquiry,IM-103911,menzhl7i - Add option to append result index in test code if there are several results for the same test,,2022-01-25,2022-03-08,2022-04-05,2022-04-26,,2023-06-05 11:07,,,
,smsatdmi,Inquiry,IM-104345,NDR for Atellica Data Manager DMS,,2022-02-08,2022-02-10,2022-02-14,2022-03-10,,2022-05-18 03:16,,,
,rchhl7ml,Inquiry,IM-104353,Add support for LIS generated Aliquot IDs to Roche HL7 LIS driver,Roche,2022-02-08,2022-04-14,2022-04-19,2022-05-12,,2022-08-24 10:36,,,
,bdcktlai,Inquiry,IM-104435,DDR bdcktlai - Maintain cross-references for orderable tests,Beckman,2022-02-10,2022-04-06,2022-04-12,2022-05-09,,2022-05-17 11:33,v8.00.0003,,
,ilagdmsi,Inquiry,IM-104567,NDR - GEMwebPlus DMS,,2022-02-15,2022-04-18,2022-05-20,2022-06-24,,2023-06-05 10:31,,,
,abdicqii,Inquiry,IM-104577,DDR for abdicqii,Abbott,2022-02-15,2022-03-31,2022-04-01,2022-04-14,,2022-06-21 16:45,v8.00.0006,,
,rchcproi,Known Issue,IM-104615,Driver sending invalid order when configured to support Rerun/Repeat/Reflex and no tests are pending,Roche,2022-02-17,,,2022-03-28,,2022-04-19 09:50,v8.00.0001,,
,sysrouta,Known Issue,IM-104791,"Error in build - <UNDEFINED>gettests+8^sysroutabuild ^imconfig(""config"",29,""IgnoreFluid"")",Sysmex,2022-02-24,,,2022-04-28,,2022-05-13 12:33,v8.00.0001,,
,bvimytci,Inquiry,IM-104933,DDR for bvimytci,bioMerieux,2022-03-01,2022-03-11,2022-04-06,2022-04-22,,2022-12-02 14:51,v8.00.0001_dev33,,
,gnppanti,Inquiry,IM-104935,DDR gnppanti - number separators option,Grifols,2022-03-01,2022-05-26,2022-06-02,2022-06-17,,2023-05-19 12:14,v8.00.0012,,
,abdali7i,Inquiry,IM-104949,DDR for abdali7i,Abbott,2022-03-02,2022-03-11,2022-04-06,2022-04-29,,,v8.13.0001_dev41,,
,dirh500i,Inquiry,IM-104991,"DDR dirh500i - trace results, color & clarity",,2022-03-03,2022-05-06,2022-05-12,2022-05-26,,2023-06-20 08:25,v8.00.0003,,
,crnshl7l,Inquiry,IM-105020,Update Cerner Standard HL7 LIS driver to support micro workflows,Cerner,2022-03-03,2022-03-24,2022-03-25,2022-04-29,,2022-06-06 08:31,,,
,vlsselxi,Inquiry,IM-105080,DDR vlsselxi - old driver new tricks,,2022-03-07,2022-03-15,2022-04-04,2022-04-11,,2024-01-09 08:05,v8.00.0001_dev0001,,
,diicfgdi,Known Issue,IM-105084,Error in build - <UNDEFINED>worklist+60^diicfgdibuild *field,DI,2022-03-07,,,2022-04-08,,2022-04-27 16:43,v8.04.0032 (05/12/2021),,
,diihl7ml,Known Issue,IM-105086,DII Configurable HL7 driver will not processing Fluid from SPM.4 in a multi-specimen order,DI,2022-03-07,,,2022-05-04,,2022-09-19 10:01,v8.00.0054 (02/14/2022),,
,sysxnsai,Inquiry,IM-105359,DDR sysxnsai - large scatterplots,Sysmex,2022-03-16,2022-03-31,2022-04-08,2022-05-17,,2023-02-22 17:00,8.00.0009,,
,cliwnpel,Inquiry,IM-105360,Clinisys Enterprise LIS to support micro-automation workflows with Copan WASPLab,Clinisys,2022-03-16,2022-05-05,2022-07-14,2023-03-01,,2023-06-14 15:08,,,
,cliwnpel,Inquiry,IM-105364,Implement IT/RT configuration grid logic for microresult message building,Clinisys,2022-03-16,2022-05-05,2022-07-14,2023-03-01,,2023-06-14 15:08,v8.00.0027_dev25,,
,copwlabi,Inquiry,IM-105402,Copan WASPlab - Add support for Clinisys workflows,Copan,2022-03-17,2022-05-19,2022-07-14,2023-03-01,,2023-06-14 15:15,,,
,copwlabi,Inquiry,IM-105489,Copan WASPLab - send media information when ordering By Protocol,Copan,2022-03-18,2022-06-02,2022-06-02,2022-06-20,,2022-06-20 16:34,,,
,eliingei,Inquiry,IM-105550,DDR eliingei - COVID - spec changes,,2022-03-22,2022-05-12,2022-05-12,2022-06-02,,,8.00.0002,,
,dadastmi,Inquiry,IM-105580,DDR ASAP dadastmi - add support for long messages,,2022-03-23,2022-03-23,2022-03-23,2022-03-28,,2022-03-28 13:07,,,
,escvalli,Inquiry,IM-105705,Make Client ID configurable for Epic Beaker Results Validation,Epic,2022-03-28,2022-04-06,2022-04-26,2022-06-01,,,,,
,bkmdxoni,Inquiry,IM-105813,DDR for bkmdxoni,Beckman,2022-03-29,2022-04-18,2022-04-19,2022-05-19,,2022-06-09 04:20,v8.00.0001_dev28,,
,rch8100a,Known Issue,IM-105860,8100 Routing Configuration Grid is not saved correctly when it contains 100-200 rows,Roche,2022-03-30,,,2022-05-09,,2022-05-18 13:52,v8.13.0001 (02/08/2016?),,
,syscarwi,Known Issue,IM-105938,syscarwi - Duplicate orders sent to instrument,Sysmex,2022-04-01,,,2022-04-27,,2022-06-29 17:21,v8.00.0001,,
,eikioasi,Inquiry,IM-105951,NDR OC SENSOR IO - ASTM unidirectional,,2022-04-04,2022-05-12,2022-05-18,2022-05-31,,,,,
,ilalimsi,Inquiry,IM-106148,DDR for ilalimsi,,2022-04-07,2022-06-09,2022-06-16,2022-06-28,,2023-05-02 06:53,8.00.0013,,
,bkmcelmi,Inquiry,IM-106206,NDR - CellMek SPS - Query & Orders only,Beckman,2022-04-08,2022-05-12,2022-06-20,2022-09-08,,2023-01-20 10:28,,,
,syshclbi,Inquiry,IM-106229,DDR for syshclbi,Sysmex,2022-04-11,2022-04-19,2022-04-21,2022-05-12,,2022-07-13 05:57,v8.00.0002,,
,sisixlil,Inquiry,IM-106257,LIS Generate Aliquot Support for Sunquest IX,Sunquest,2022-04-11,2022-05-19,2022-06-02,2022-08-03,,2023-12-01 16:06,,,
,mbsexbri,Known Issue,IM-106301,mbsexbri - Driver uses incorrect delimiter string when building orders.,,2022-04-12,,,2022-04-28,,2022-10-19 15:36,v8.00.0001,,
,illmysqi,Inquiry,IM-106317,NDR MiSeq Dx - File I/O Uni direction with variants,,2022-04-12,2022-04-26,2022-05-16,2022-06-02,,2023-02-22 16:59,,,
,tfcqst5i,Inquiry,IM-106346,DDR for tfcqst5i,Thermo,2022-04-13,2022-05-16,2022-06-02,2022-07-08,,,v8.00.0002,,
,crnfsi7l,Inquiry,IM-106373,NDR Cerner FSI,Cerner,2022-04-13,2022-06-09,2022-06-15,2022-06-30,,,,,
,nvbnpa2i,Inquiry,IM-106374,DDR for nvbnpa2i,,2022-04-13,2022-04-25,2022-04-25,2022-05-09,,2022-07-14 08:32,Beta,,
,cvndm96i,Inquiry,IM-106798,DDR for cvndm96i,,2022-04-21,2022-05-24,2022-06-20,2022-07-28,,2022-12-27 03:54,8.00.0019,,
